evidence_track	claim_role	status	model_or_workflow	dataset_or_suite	metric	estimate	ci_lower	ci_upper	numerator	denominator	unit	replicates	source	limitation
agent_operability	primary_local_model_benchmark	pending_new_run	local_model_family_pairs	ABI-Bench causal_core_v0_8	G3_minus_G1						fraction_point_delta		ABI-Bench evaluation_suites.yaml	All pre-existing benchmark outcomes were excluded; populate only after a clean preregistered rerun
agent_operability	primary_local_model_benchmark	pending_new_run	local_model_family_pairs	ABI-Bench causal_core_v0_8	G3_minus_G2						fraction_point_delta		ABI-Bench evaluation_suites.yaml	All pre-existing benchmark outcomes were excluded; populate only after a clean preregistered rerun
agent_operability	primary_local_model_benchmark	pending_new_run	local_model_family_pairs	ABI-Bench causal_core_v0_8	G3_minus_G4						fraction_point_delta		ABI-Bench evaluation_suites.yaml	All pre-existing benchmark outcomes were excluded; G4 isolates callable control from information volume
agent_operability	hidden_local_model_robustness	pending_new_run	local_model_family_pairs	ABI-Bench hidden_robustness_v0_9	diagnostic_accuracy_delta						fraction_point_delta		ABI-Bench evaluation_suites.yaml	Populate only from hidden fixtures after the public-suite design and model registry are frozen
biological_validation	running_example	claim_eligible	rnaseq_expression	GSE52778 Airway Dex versus untreated	steps_completed_fraction	1.0			26	26	fraction	1	/docs/zh/real_data_validation_datasets.md	Resume statuses prove workflow completion, not independent recomputation of every step
biological_validation	running_example	claim_eligible	rnaseq_expression	GSE52778 Airway Dex versus untreated	genes_tested	17612			17612		genes	1	/docs/zh/real_data_validation_datasets.md	STAR/featureCounts/DESeq2 differs from the original TopHat/Cufflinks/Cuffdiff workflow in alignment, counting, gene aggregation, dispersion estimation, and multiple-testing implementation
biological_validation	running_example	claim_eligible	rnaseq_expression	GSE52778 Airway Dex versus untreated	matched_genes_for_effect_comparison	13725			13725		genes	1	/docs/zh/real_data_validation_datasets.md	Only genes mappable between ABI and GEO result tables are compared
biological_validation	running_example	claim_eligible	rnaseq_expression	GSE52778 Airway Dex versus untreated	abi_mapped_significant_genes	4814			4814		genes	1	/docs/zh/real_data_validation_datasets.md	ABI significant genes among the mapped comparison set; differs from the total tested-gene count
biological_validation	running_example	claim_eligible	rnaseq_expression	GSE52778 Airway Dex versus untreated	geo_mapped_significant_genes	304			304		genes	1	/docs/zh/real_data_validation_datasets.md	GEO Cuffdiff significant genes among the mapped comparison set
biological_validation	running_example	claim_eligible	rnaseq_expression	GSE52778 Airway Dex versus untreated	log2fc_spearman_rho	0.927			13725		correlation	1	/docs/zh/real_data_validation_datasets.md	GEO Cuffdiff effect sign was reversed before comparison to express Dex relative to untreated
